"state_name","hourly_wage"
"Alabama",7.25
"Alaska",7.75
"Arizona",7.9
"Arkansas",7.25
"California",9
"Colorado",8
"Connecticut",8.7
"Delaware",7.75
"District of Columbia",9.5
"Florida",7.93
"Georgia",7.25
"Hawaii",7.25
"Idaho",7.25
"Illinois",8.25
"Indiana",7.25
"Iowa",7.25
"Kansas",7.25
"Kentucky",7.25
"Louisiana",7.25
"Maine",7.5
"Maryland",7.25
"Massachusetts",8
"Michigan",8.15
"Minnesota",8
"Mississippi",7.25
"Missouri",7.5
"Montana",7.9
"Nebraska",7.25
"Nevada",8.25
"New Hampshire",7.25
"New Jersey",8.25
"New Mexico",7.5
"New York",8
"North Carolina",7.25
"North Dakota",7.25
"Ohio",7.95
"Oklahoma",7.25
"Oregon",9.1
"Pennsylvania",7.25
"Rhode Island",8
"South Carolina",7.25
"South Dakota",7.25
"Tennessee",7.25
"Texas",7.25
"Utah",7.25
"Vermont",8.73
"Virginia",7.25
"Washington",9.32
"West Virginia",7.25
"Wisconsin",7.25
"Wyoming",7.25
