"expense_category","household_type","annual_cost","state_name"
"Food","1 Adult",3022,"Alabama"
"Child Care","1 Adult",0,"Alabama"
"Medical","1 Adult",2394,"Alabama"
"Housing","1 Adult",5942,"Alabama"
"Transportation","1 Adult",4697,"Alabama"
"Other","1 Adult",2253,"Alabama"
"Required annual income after taxes","1 Adult",18308,"Alabama"
"Annual taxes","1 Adult",2841,"Alabama"
"Required annual income before taxes","1 Adult",21149,"Alabama"
"Food","1 Adult 1 Child",4457,"Alabama"
"Child Care","1 Adult 1 Child",5062,"Alabama"
"Medical","1 Adult 1 Child",5619,"Alabama"
"Housing","1 Adult 1 Child",8155,"Alabama"
"Transportation","1 Adult 1 Child",8554,"Alabama"
"Other","1 Adult 1 Child",3916,"Alabama"
"Required annual income after taxes","1 Adult 1 Child",35764,"Alabama"
"Annual taxes","1 Adult 1 Child",5551,"Alabama"
"Required annual income before taxes","1 Adult 1 Child",41315,"Alabama"
"Food","1 Adult 2 Children",6704,"Alabama"
"Child Care","1 Adult 2 Children",9869,"Alabama"
"Medical","1 Adult 2 Children",5407,"Alabama"
"Housing","1 Adult 2 Children",8155,"Alabama"
"Transportation","1 Adult 2 Children",9859,"Alabama"
"Other","1 Adult 2 Children",4284,"Alabama"
"Required annual income after taxes","1 Adult 2 Children",44280,"Alabama"
"Annual taxes","1 Adult 2 Children",6872,"Alabama"
"Required annual income before taxes","1 Adult 2 Children",51153,"Alabama"
"Food","1 Adult 3 Children",8887,"Alabama"
"Child Care","1 Adult 3 Children",14676,"Alabama"
"Medical","1 Adult 3 Children",5471,"Alabama"
"Housing","1 Adult 3 Children",10935,"Alabama"
"Transportation","1 Adult 3 Children",11553,"Alabama"
"Other","1 Adult 3 Children",5178,"Alabama"
"Required annual income after taxes","1 Adult 3 Children",56701,"Alabama"
"Annual taxes","1 Adult 3 Children",8800,"Alabama"
"Required annual income before taxes","1 Adult 3 Children",65501,"Alabama"
"Food","2 Adults (One Working)",5540,"Alabama"
"Child Care","2 Adults (One Working)",0,"Alabama"
"Medical","2 Adults (One Working)",4799,"Alabama"
"Housing","2 Adults (One Working)",6626,"Alabama"
"Transportation","2 Adults (One Working)",8554,"Alabama"
"Other","2 Adults (One Working)",3916,"Alabama"
"Required annual income after taxes","2 Adults (One Working)",29435,"Alabama"
"Annual taxes","2 Adults (One Working)",4568,"Alabama"
"Required annual income before taxes","2 Adults (One Working)",34004,"Alabama"
"Food","2 Adults (One Working) 1 Child",6898,"Alabama"
"Child Care","2 Adults (One Working) 1 Child",0,"Alabama"
"Medical","2 Adults (One Working) 1 Child",5407,"Alabama"
"Housing","2 Adults (One Working) 1 Child",8155,"Alabama"
"Transportation","2 Adults (One Working) 1 Child",9859,"Alabama"
"Other","2 Adults (One Working) 1 Child",4284,"Alabama"
"Required annual income after taxes","2 Adults (One Working) 1 Child",34605,"Alabama"
"Annual taxes","2 Adults (One Working) 1 Child",5371,"Alabama"
"Required annual income before taxes","2 Adults (One Working) 1 Child",39976,"Alabama"
"Food","2 Adults (One Working) 2 Children",8903,"Alabama"
"Child Care","2 Adults (One Working) 2 Children",0,"Alabama"
"Medical","2 Adults (One Working) 2 Children",5471,"Alabama"
"Housing","2 Adults (One Working) 2 Children",8155,"Alabama"
"Transportation","2 Adults (One Working) 2 Children",11553,"Alabama"
"Other","2 Adults (One Working) 2 Children",5178,"Alabama"
"Required annual income after taxes","2 Adults (One Working) 2 Children",39261,"Alabama"
"Annual taxes","2 Adults (One Working) 2 Children",6093,"Alabama"
"Required annual income before taxes","2 Adults (One Working) 2 Children",45355,"Alabama"
"Food","2 Adults (One Working) 3 Children",10835,"Alabama"
"Child Care","2 Adults (One Working) 3 Children",0,"Alabama"
"Medical","2 Adults (One Working) 3 Children",5438,"Alabama"
"Housing","2 Adults (One Working) 3 Children",10935,"Alabama"
"Transportation","2 Adults (One Working) 3 Children",11037,"Alabama"
"Other","2 Adults (One Working) 3 Children",4838,"Alabama"
"Required annual income after taxes","2 Adults (One Working) 3 Children",43084,"Alabama"
"Annual taxes","2 Adults (One Working) 3 Children",6687,"Alabama"
"Required annual income before taxes","2 Adults (One Working) 3 Children",49771,"Alabama"
"Food","2 Adults",5540,"Alabama"
"Child Care","2 Adults",0,"Alabama"
